 TIME                    	Dry                      	Total                    	Horizontal               	
 HOURS              	Unit1               	Unit2               	Unit3               	
  +0.0000000000000000E+00	  -4.4000000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E-01	  -4.3375000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  -4.2125000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.7500000000000000E-01	  -4.0875000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E-01	  -3.9625000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.2500000000000000E-01	  -3.8374999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5000000000000000E-01	  -3.7124999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7500000000000000E-01	  -3.5874999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  -3.4624999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1250000000000000E+00	  -3.3374999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E+00	  -3.2124999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.3750000000000000E+00	  -3.0874999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+00	  -2.9624999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6250000000000000E+00	  -2.8374999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.7500000000000000E+00	  -2.7124999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.8750000000000000E+00	  -2.5874999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  -2.4624999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.1250000000000000E+00	  -2.3500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.2500000000000000E+00	  -2.2500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
